stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
Aidi (MSE) MSE 5144,MSE 5144,Aidi (MSE),3.64,8.0,0.0,1
Aitken (ENGL) ENGL 1105,ENGL 1105,Aitken (ENGL),3.66,18.0,0.0,3
Aitken (ENGL) ENGL 1106,ENGL 1106,Aitken (ENGL),3.75,19.5,0.5,2
Akanmu (BC) BC 3114,BC 3114,Akanmu (BC),3.01,34.85,0.08,13
Akanmu (CEM) CEM 3154,CEM 3154,Akanmu (CEM),3.74,22.0,0.0,4
Akanmu (CNST) CNST 5034,CNST 5034,Akanmu (CNST),4.0,6.0,0.0,1
Akbari Hamed (ECE) ECE 5704,ECE 5704,Akbari Hamed (ECE),3.53,7.0,0.0,1
Akbari Hamed (ME) ME 3514,ME 3514,Akbari Hamed (ME),2.96,67.0,1.0,2
Akbari Hamed (ME) ME 3534,ME 3534,Akbari Hamed (ME),3.1,64.5,0.5,2
Akbari Hamed (ME) ME 4734,ME 4734,Akbari Hamed (ME),3.99,34.5,0.0,2
Akbari Hamed (ME) ME 5704,ME 5704,Akbari Hamed (ME),3.85,13.0,0.0,1
Akbari Hamed (ME) ME 6984,ME 6984,Akbari Hamed (ME),3.86,11.0,0.25,4
Al (ARCH) ARCH 4015,ARCH 4015,Al (ARCH),3.82,16.0,0.5,2
Al (ARCH) ARCH 4016,ARCH 4016,Al (ARCH),4.0,10.0,0.0,1
Al (ARCH) ARCH 4984,ARCH 4984,Al (ARCH),3.96,7.0,0.0,1
Al (ARCH) ARCH 5134,ARCH 5134,Al (ARCH),3.69,14.0,0.0,1
Al (ARCH) ARCH 5705,ARCH 5705,Al (ARCH),3.96,21.5,0.0,4
Al (ARCH) ARCH 5715,ARCH 5715,Al (ARCH),3.83,6.0,0.0,1
Al (ARCH) ARCH 5716,ARCH 5716,Al (ARCH),4.0,8.0,0.0,2
Al Dirani (EDCI) EDCI 1004,EDCI 1004,Al Dirani (EDCI),3.86,24.0,0.0,2
Al Jumaily (MKTG) MKTG 3104,MKTG 3104,Al Jumaily (MKTG),3.49,388.0,4.0,3
Al Jumaily (MKTG) MKTG 3164,MKTG 3164,Al Jumaily (MKTG),3.91,23.0,0.0,1
Al Jumaily (MKTG) MKTG 4164,MKTG 4164,Al Jumaily (MKTG),3.83,23.0,0.0,1
Al Jumaily (MKTG) MKTG 4204,MKTG 4204,Al Jumaily (MKTG),3.76,50.67,0.33,3
Al Jumaily (MKTG) MKTG 4304,MKTG 4304,Al Jumaily (MKTG),3.43,56.0,0.0,1
Al Radaideh (ARCH) ARCH 4055,ARCH 4055,Al Radaideh (ARCH),3.31,125.0,0.0,1
