crn,dept,course_id,instructor_id,title,modality,credits,capacity,days,start_time,end_time,location
18309,MUS,MUS 2066,Nichols (MUS),Music Composition,F2F,2,15,M W,1:30PM,2:20PM,LIBR 121
18310,MUS,MUS 2116,Berrios Rodriguez (MUS),Survey of Western Music,F2F,3,125,T R,3:30PM,4:45PM,SQUIR SALON
18312,MUS,MUS 2214,Baldwin (MUS),Class Applied Piano,F2F,1,10,M W F,12:20PM,1:10PM,SQUIR 148
18313,MUS,MUS 2214,Baldwin (MUS),Class Applied Piano,F2F,1,16,M W F,1:25PM,2:15PM,SQUIR 148
18314,MUS,MUS 2234,Wilkens-Reed (MUS),Class Applied Strings,F2F,1,15,T R,8:00AM,9:15AM,SQUIR 243
21852,MUS,MUS 2244,Bartlett (MUS),Class Applied Woodwinds,F2F,1,15,W,8:00AM,8:50AM,SQUIR 240
18317,MUS,MUS 2274,OLeary (MUS),Music Education Lab Ensemble,F2F,1,40,M F,8:00AM,8:50AM,SQUIR 243
21728,MUS,MUS 2324,Middleton (MUS),Woodwind Techniques II,F2F,1,15,W,8:00AM,9:15AM,SQUIR 162
18341,MUS,MUS 2816,Pace (MUS),Jazz Improvisation,F2F,2,25,M,4:45PM,7:17PM,SQUIR 162
18344,MUS,MUS 3026,Loeffert (MUS),Euro American Music Anaylsis,F2F,3,35,M W F,9:05AM,9:55AM,SQUIR 162
18345,MUS,MUS 3034,Loeffert (MUS),Form and Analysis,F2F,3,20,T R,11:00AM,12:15PM,SQUIR 165
18347,MUS,MUS 3036,Masters (MUS),Advanced Class Piano,F2F,1,16,M W,11:15AM,12:05PM,SQUIR 148
18348,MUS,MUS 3046,Knoeckel (MUS),Advanced Ear Training,F2F,1,16,M W F,10:10AM,11:00AM,SQUIR 240
18350,MUS,MUS 3054,Bigler (MUS),Intro Vo/Chor Arr,F2F,3,20,M W F,12:20PM,1:10PM,SQUIR 162
18351,MUS,MUS 3056,Dunston (MUS),Music and Media Production,F2F,3,25,M W F,12:20PM,1:10PM,CID 150
18352,MUS,MUS 3066,Nichols (MUS),Computer Music & Multimedia,F2F,3,22,T R,11:00AM,12:15PM,LIBR 121
18353,MUS,MUS 3164H,Lyon (MUS),History of Electronic Music,F2F,3,25,T R,3:30PM,4:45PM,LIBR 121
18354,MUS,MUS 3174,Sato (MUS),Music as Global Culture,F2F,3,40,T R,11:00AM,12:15PM,SQUIR 162
18355,MUS,MUS 3194,Bowen (MUS),Histories of Music II,F2F,3,40,T R,9:30AM,10:45AM,SQUIR 162
18356,MUS,MUS 3214,Yoo (MUS),Teach Mus Elem School,F2F,3,25,M W F,11:15AM,12:05PM,SQUIR 243
18357,MUS,MUS 3226,Shapiro (MUS),Conducting,F2F,3,35,M W F,10:10AM,11:00AM,CID 150
21511,MUS,MUS 3244,Cowan (MUS),Vocal Pedagogy,F2F,3,15,T R,3:30PM,4:45PM,SQUIR 240
18358,MUS,MUS 3314,Crafton (MUS),Instrumental Ensemble Music,F2F,1,25,M W F,12:20PM,1:10PM,SQUIR 243
18359,MUS,MUS 3314,Shapiro (MUS),Instrumental Ensemble Music,F2F,1,100,M W F,2:30PM,4:10PM,CID 150
18360,MUS,MUS 3314,Pace (MUS),Instrumental Ensemble Music,F2F,1,16,M,7:30PM,9:30PM,SQUIR 162
18361,MUS,MUS 3314,Irrera (MUS),Instrumental Ensemble Music,F2F,1,15,(ARR),(ARR),(ARR),00X
18362,MUS,MUS 3314,Reep (MUS),Instrumental Ensemble Music,F2F,1,175,M,7:00PM,9:30PM,CID 150
18363,MUS,MUS 3314,Masters (MUS),Instrumental Ensemble Music,F2F,1,20,M W,3:30PM,4:20PM,SQUIR 240
18364,MUS,MUS 3314,Elmer (MUS),Instrumental Ensemble Music,F2F,1,100,M W F,4:30PM,6:10PM,CID 150
18365,MUS,MUS 3314,Thomas (MUS),Instrumental Ensemble Music,F2F,1,10,(ARR),(ARR),(ARR),00X
18366,MUS,MUS 3314,Crafton (MUS),Instrumental Ensemble Music,F2F,1,13,T R,3:30PM,4:30PM,SQUIR 162
18368,MUS,MUS 3314,Reep (MUS),Instrumental Ensemble Music,F2F,1,140,(ARR),(ARR),(ARR),00X
18370,MUS,MUS 3314,Middleton (MUS),Instrumental Ensemble Music,F2F,1,125,T R,3:30PM,4:45PM,CID 150
18371,MUS,MUS 3314,Dokshansky (MUS),Instrumental Ensemble Music,F2F,1,10,(ARR),(ARR),(ARR),00X
18372,MUS,MUS 3314,Bean (MUS),Instrumental Ensemble Music,F2F,1,130,M W F,5:00PM,6:30PM,SQUIR 243
18373,MUS,MUS 3314,Weinstein (MUS),Instrumental Ensemble Music,F2F,1,20,M W F,2:00PM,3:30PM,SQUIR 240
18374,MUS,MUS 3314,Bean (MUS),Instrumental Ensemble Music,F2F,1,20,T R,7:00PM,8:30PM,SQUIR 162
18375,MUS,MUS 3314,Irrera (MUS),Instrumental Ensemble Music,F2F,1,40,M W F,1:25PM,2:15PM,CID 150
18376,MUS,MUS 3314,Lantz Crone (MUS),Instrumental Ensemble Music,F2F,1,10,T R,12:30PM,1:45PM,SQUIR 243
18377,MUS,MUS 3314,Lantz Crone (MUS),Instrumental Ensemble Music,F2F,1,30,T,7:30PM,9:30PM,SQUIR SALON
18378,MUS,MUS 3314,Berrios Rodriguez (MUS),Instrumental Ensemble Music,F2F,1,20,W,7:00PM,8:30PM,SQUIR 243
21714,MUS,MUS 3314,Bukvic (MUS),Instrumental Ensemble Music,F2F,1,12,M,4:00PM,6:30PM,LIBR 121
18379,MUS,MUS 3414,Baldwin (MUS),Choral Ensemble Music,F2F,1,100,T R,5:30PM,6:55PM,CID 150
18380,MUS,MUS 3414,Bigler (MUS),Choral Ensemble Music,F2F,1,50,M W F,3:35PM,5:15PM,SQUIR SALON
18381,MUS,MUS 3414,Baldwin (MUS),Choral Ensemble Music,F2F,1,100,M R,5:30PM,6:55PM,SQUIR SALON
18383,MUS,MUS 3814,Knoeckel (MUS),Jazz History,F2F,3,50,M W F,1:25PM,2:15PM,SQUIR SALON
18385,MUS,MUS 4056,Dunston (MUS),Music Tech Senior Sem,F2F,1,10,(ARR),(ARR),(ARR),00X
18386,MUS,MUS 4174,Bowen (MUS),Topics in Musicology,F2F,3,25,T R,12:30PM,1:45PM,SQUIR 240
21693,MUS,MUS 4174,McLain (MUS),Topics in Musicology,F2F,3,22,T R,12:30PM,1:45PM,MAC 253A
18410,MUS,MUS 4764,Lyon (MUS),Adv Ind App Electroacoustics,F2F,1,1,(ARR),(ARR),(ARR),00X
18411,MUS,MUS 4764,Nichols (MUS),Adv Ind App Electroacoustics,F2F,1,1,(ARR),(ARR),(ARR),00X
18419,MUS,MUS 5314,Irrera (MUS),Instrumental Ensemble Music,F2F,1,5,(ARR),(ARR),(ARR),00X
