instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
Anker-Johnson (REAL),Anker-Johnson,REAL,3.86,16.0,0.0,1,0
Ankong (ENGL),Ankong,ENGL,3.51,17.67,0.17,6,0
Ansari (ME),Ansari,ME,3.52,67.0,1.0,1,0
Ansell (HUM),Ansell,HUM,3.34,34.5,0.5,2,1
Ansell (RLCL),Ansell,RLCL,3.44,35.29,0.29,7,2
Ansell (SOC),Ansell,SOC,2.9,11.0,1.0,1,1
Antezana (PSYC),Antezana,PSYC,3.76,52.25,0.0,4,0
Anthwal (ECON),Anthwal,ECON,3.26,47.5,1.0,2,0
Antonides (MATH),Antonides,MATH,2.79,31.5,1.5,2,1
Anwyll (STAT),Anwyll,STAT,3.47,22.0,0.0,1,0
Apodaca (IS),Apodaca,IS,3.66,15.12,0.44,16,1
Apodaca (PSCI),Apodaca,PSCI,3.43,18.89,0.33,18,2
Arachchige (CHEM),Arachchige,CHEM,2.95,63.35,6.3,63,23
Aradhey (ME),Aradhey,ME,2.74,43.0,6.0,1,0
Arafat (ECON),Arafat,ECON,2.42,92.0,14.0,1,0
Arav (PHYS),Arav,PHYS,3.52,90.5,1.1,10,0
Archer (ARCH),Archer,ARCH,3.78,10.33,0.0,9,0
Archibald (ALCE),Archibald,ALCE,3.96,7.44,0.0,9,0
Arditti (HD),Arditti,HD,3.32,46.09,0.36,11,0
Arena (BMES),Arena,BMES,3.89,35.32,0.05,22,3
Arena (ESM),Arena,ESM,3.35,26.0,0.38,29,1
Arledge (PAPA),Arledge,PAPA,3.78,8.0,0.0,2,0
Armstrong (AFST),Armstrong,AFST,3.87,10.33,0.0,3,1
Armstrong (ENGL),Armstrong,ENGL,3.9,19.08,0.21,48,1
Armstrong (HUM),Armstrong,HUM,3.92,26.33,0.0,3,0
Armstrong (RLCL),Armstrong,RLCL,3.88,15.5,0.0,8,2
Armstrong (WGS),Armstrong,WGS,3.81,12.0,0.0,3,1
Arnette (BIT),Arnette,BIT,3.34,54.17,0.67,6,3
Arnold (MATH),Arnold,MATH,2.94,17.32,0.63,19,0
Arnold (UH),Arnold,UH,3.66,12.2,0.0,5,0
Arnold-Christian (ENGR),Arnold-Christian,ENGR,4.0,7.0,0.0,1,0
Arredondo (FREC),Arredondo,FREC,3.3,44.0,0.0,1,0
Artavanis (FIN),Artavanis,FIN,3.01,27.92,0.77,13,0
Arthur (MGT),Arthur,MGT,3.05,35.8,0.05,20,2
Artis (AOE),Artis,AOE,3.7,57.22,1.17,23,1
Artis (GRAD),Artis,GRAD,4.0,23.33,0.0,3,1
Arul Jayachandran (CEE),Arul Jayachandran,CEE,2.98,47.0,1.5,2,1
Asadi (ECON),Asadi,ECON,2.98,106.0,2.33,3,0
Asbeck (ME),Asbeck,ME,3.74,22.71,0.0,7,0
Asbeck (MUS),Asbeck,MUS,4.0,8.0,0.0,1,0
Asfaw (ARCH),Asfaw,ARCH,3.84,7.6,0.0,5,1
Asfaw (MATH),Asfaw,MATH,2.49,23.33,2.08,24,0
Asgari (MGT),Asgari,MGT,3.59,9.0,0.0,1,0
Ashall (PHYS),Ashall,PHYS,3.42,233.0,6.0,1,1
Ashkar (PHYS),Ashkar,PHYS,2.8,29.05,0.89,19,2
Ashley (ECON),Ashley,ECON,3.01,18.0,0.73,15,2
Ashworth (UAP),Ashworth,UAP,3.34,44.0,2.0,1,0
Askew (PPWS),Askew,PPWS,4.0,5.0,0.0,1,0
Aslan (MATH),Aslan,MATH,2.65,34.04,2.96,25,0
Aslan (MUS),Aslan,MUS,4.0,8.0,0.0,1,0
Asryan (MSE),Asryan,MSE,3.82,28.45,0.09,11,1
Atallah (CEE),Atallah,CEE,3.61,18.0,0.0,1,0
Atanasio (HD),Atanasio,HD,2.96,34.0,2.0,1,1
Athanas (ECE),Athanas,ECE,3.56,23.33,0.0,3,0
Atkins (AOE),Atkins,AOE,2.72,21.86,1.0,7,0
Atkins (ESM),Atkins,ESM,2.7,8.5,1.5,2,0
Atkinson Webson (ENGL),Atkinson Webson,ENGL,3.22,17.67,2.0,6,0
Auguste (ENT),Auguste,ENT,4.0,9.25,0.0,4,1
Aurand (UAP),Aurand,UAP,3.83,9.5,0.0,2,0
Aust (FREC),Aust,FREC,3.0,19.18,0.18,17,2
Austin (ENGL),Austin,ENGL,3.38,17.12,0.44,16,4
Austin (PSYC),Austin,PSYC,4.0,8.0,0.0,1,0
Austin (SPAN),Austin,SPAN,3.65,18.73,0.27,15,4
Avery (PM),Avery,PM,3.35,34.35,0.08,26,3
Avery (STAT),Avery,STAT,3.58,8.0,0.0,1,0
Avey (IS),Avey,IS,3.22,20.5,0.17,6,1
Avey (PSCI),Avey,PSCI,3.26,13.14,1.0,7,2
Awate (MGT),Awate,MGT,3.27,37.14,0.0,14,2
Awni (ME),Awni,ME,3.68,67.0,3.0,1,0
Awotayo (ENGL),Awotayo,ENGL,3.42,17.2,0.27,15,2
Axsom (PSYC),Axsom,PSYC,3.26,34.9,0.5,10,0
Aylward (SYSB),Aylward,SYSB,3.78,10.43,0.0,7,2
Azano (EDCI),Azano,EDCI,4.0,12.5,0.0,6,0
Azar (PM),Azar,PM,3.22,49.67,0.33,6,0
Azzam (ARBC),Azzam,ARBC,3.72,11.44,0.22,18,3
Ba-Aoum (ISE),Ba-Aoum,ISE,3.29,70.0,0.0,1,0
Baab (COMM),Baab,COMM,3.62,18.0,0.12,8,1
Back (CS),Back,CS,3.57,44.18,2.05,22,2
Badgley (BIOL),Badgley,BIOL,3.27,10.0,0.0,10,2
Badgley (CSES),Badgley,CSES,3.38,15.17,0.0,6,0
Badgley (ENSC),Badgley,ENSC,3.36,12.56,0.0,9,2
Badgley (GRAD),Badgley,GRAD,4.0,25.0,0.0,1,1
Badgley (SPES),Badgley,SPES,3.58,12.0,0.0,1,0
Badinelli (BIT),Badinelli,BIT,3.18,41.05,1.14,22,0
Bahel (ECON),Bahel,ECON,3.26,13.0,0.33,6,0
Bai (MSE),Bai,MSE,3.55,15.15,0.15,13,2
Bailey (AHRM),Bailey,AHRM,3.52,29.0,0.0,2,0
Bailey (AOE),Bailey,AOE,3.86,44.5,0.5,2,0
Bailey (ECE),Bailey,ECE,3.75,25.14,0.57,7,1
Bailey (ENGL),Bailey,ENGL,3.89,19.0,0.5,2,0
Bailey (PAPA),Bailey,PAPA,3.97,12.0,0.0,1,0
Bailey (SPIA),Bailey,SPIA,3.51,8.2,0.0,5,0
Bairaktarova (ENGE),Bairaktarova,ENGE,3.69,82.87,0.6,15,0
Baird (CHE),Baird,CHE,3.56,24.0,0.25,4,0
Baird (GEOG),Baird,GEOG,3.63,42.33,0.33,9,1
Baird (NR),Baird,NR,3.59,18.17,0.17,6,1
Bak (PHIL),Bak,PHIL,2.93,31.0,1.0,5,0
Bak (PHYS),Bak,PHYS,3.41,94.0,1.0,1,0
Baker (AOE),Baker,AOE,3.03,43.43,3.14,7,1
Baker (AS),Baker,AS,3.92,80.12,0.0,8,0
Baker (BIT),Baker,BIT,3.87,56.68,0.05,19,1
Baker (ECE),Baker,ECE,2.75,19.67,1.17,6,1
Baker (ENGL),Baker,ENGL,3.68,20.23,0.38,73,8
Baker (HIST),Baker,HIST,3.2,90.5,4.0,2,0
Baker (PHS),Baker,PHS,3.91,29.75,0.0,8,0
Balantrapu (AOE),Balantrapu,AOE,3.52,9.0,0.0,1,0
Balci (CS),Balci,CS,3.16,28.04,2.82,28,4
Baldanza (EDEL),Baldanza,EDEL,4.0,10.0,0.0,3,0
Baldwin (AFST),Baldwin,AFST,3.56,19.83,0.17,6,0
Baldwin (WGS),Baldwin,WGS,3.85,8.6,0.0,5,0
Balkew (MATH),Balkew,MATH,2.52,32.64,2.91,11,0
Ball (ECE),Ball,ECE,2.74,67.95,5.7,20,2
Ball (ECON),Ball,ECON,3.06,13.4,0.0,5,1
Ball (NEUR),Ball,NEUR,2.97,16.14,0.29,7,0
Ball (PSYC),Ball,PSYC,4.0,5.5,0.0,2,0
Ballard (EDEL),Ballard,EDEL,3.85,11.0,0.0,1,0
Ballard (HD),Ballard,HD,3.6,74.5,0.0,2,0
Banasaz (ECON),Banasaz,ECON,3.0,28.0,2.0,1,0
Banerjee (NANO),Banerjee,NANO,3.65,13.67,0.0,3,0
Banerjee (SYSB),Banerjee,SYSB,3.72,9.0,0.0,3,0
Baniya (ENGL),Baniya,ENGL,3.47,14.0,0.09,11,1
Bank (MUS),Bank,MUS,3.16,17.5,0.0,2,1
Banks (BIT),Banks,BIT,2.76,115.5,8.5,2,0
Banks (SPIA),Banks,SPIA,3.91,7.0,0.0,1,0
Banks-Hunt (UH),Banks-Hunt,UH,3.99,10.67,0.0,3,0
Bannan (ART),Bannan,ART,3.82,13.61,0.16,31,3
Bansal (ISE),Bansal,ISE,3.7,25.92,0.17,12,2
Barbeau (HNFE),Barbeau,HNFE,3.69,15.25,0.0,4,0
Barbish (ME),Barbish,ME,3.12,42.0,0.0,2,0
Bargmann (CSES),Bargmann,CSES,3.57,17.0,0.25,4,1
Barhorst (BIT),Barhorst,BIT,3.74,74.5,0.5,2,0
Barkhi (ACIS),Barkhi,ACIS,3.38,14.07,0.15,27,6
Barksdale (EDCI),Barksdale,EDCI,4.0,12.0,0.0,2,0
